"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42","Delete posts using JSON data provider","RestAssured API Testing Suite","Sat Jan 17 00:49:13 UTC 2026","passed","Sat Jan 17 00:49:14 UTC 2026","com.api.testing.tests.DeleteRequestTest","API Tests","com.api.testing.tests.DeleteRequestTest","testDeletePostWithJsonData"
"","34","Find and match POJOs using predicates","RestAssured API Testing Suite","Sat Jan 17 00:49:16 UTC 2026","passed","Sat Jan 17 00:49:16 UTC 2026","com.api.testing.tests.PojoCollectionsTest","API Tests","com.api.testing.tests.PojoCollectionsTest","testFindAndMatchPojos"
"","77","Create comment with first hardcoded data","RestAssured API Testing Suite","Sat Jan 17 00:49:14 UTC 2026","passed","Sat Jan 17 00:49:14 UTC 2026","com.api.testing.tests.HardcodedDataTest","API Tests","com.api.testing.tests.HardcodedDataTest","testCreateCommentWithFirstData"
"","7","Verify JSON data availability","RestAssured API Testing Suite","Sat Jan 17 00:49:14 UTC 2026","passed","Sat Jan 17 00:49:14 UTC 2026","com.api.testing.tests.JsonDataProviderTest","API Tests","com.api.testing.tests.JsonDataProviderTest","testJsonDataAvailability"
"","34","Sort POJOs using Comparator","RestAssured API Testing Suite","Sat Jan 17 00:49:16 UTC 2026","passed","Sat Jan 17 00:49:16 UTC 2026","com.api.testing.tests.PojoCollectionsTest","API Tests","com.api.testing.tests.PojoCollectionsTest","testSortPostsUsingComparator"
"","834","Validate schema and perform additional assertions","RestAssured API Testing Suite","Sat Jan 17 00:49:14 UTC 2026","passed","Sat Jan 17 00:49:15 UTC 2026","com.api.testing.tests.SchemaValidationTest","API Tests","com.api.testing.tests.SchemaValidationTest","testSchemaValidationWithAssertions"
"","30","Delete an existing post","RestAssured API Testing Suite","Sat Jan 17 00:49:17 UTC 2026","passed","Sat Jan 17 00:49:17 UTC 2026","com.api.testing.tests.ChainRequestTest","API Tests","com.api.testing.tests.ChainRequestTest","testDeletePost"
"","79","Delete posts using JSON data provider","RestAssured API Testing Suite","Sat Jan 17 00:49:13 UTC 2026","passed","Sat Jan 17 00:49:13 UTC 2026","com.api.testing.tests.DeleteRequestTest","API Tests","com.api.testing.tests.DeleteRequestTest","testDeletePostWithJsonData"
"","164","Get user details and validate nested complex JSON","RestAssured API Testing Suite","Sat Jan 17 00:49:14 UTC 2026","passed","Sat Jan 17 00:49:14 UTC 2026","com.api.testing.tests.ResponseLoggingAndAssertionTest","API Tests","com.api.testing.tests.ResponseLoggingAndAssertionTest","testGetUserWithComplexNestedValidation"
"","32","Group POJOs by field using Map","RestAssured API Testing Suite","Sat Jan 17 00:49:16 UTC 2026","passed","Sat Jan 17 00:49:16 UTC 2026","com.api.testing.tests.PojoCollectionsTest","API Tests","com.api.testing.tests.PojoCollectionsTest","testGroupPostsByUserId"
"","169","Validate specific API endpoint links","RestAssured API Testing Suite","Sat Jan 17 00:49:16 UTC 2026","failed","Sat Jan 17 00:49:16 UTC 2026","com.api.testing.tests.BrokenLinksTest","API Tests","com.api.testing.tests.BrokenLinksTest","testApiEndpointLinks"
"","99","Test with parameterized data","RestAssured API Testing Suite","Sat Jan 17 00:49:16 UTC 2026","passed","Sat Jan 17 00:49:17 UTC 2026","com.api.testing.tests.AllureReportingTest","API Tests","com.api.testing.tests.AllureReportingTest","testWithParameters"
"","89","Create comment using JsonDataProvider - last comment data","RestAssured API Testing Suite","Sat Jan 17 00:49:13 UTC 2026","passed","Sat Jan 17 00:49:13 UTC 2026","com.api.testing.tests.JsonDataProviderTest","API Tests","com.api.testing.tests.JsonDataProviderTest","testCreateCommentWithLastData"
"","101","Update post with hardcoded data using PUT","RestAssured API Testing Suite","Sat Jan 17 00:49:14 UTC 2026","passed","Sat Jan 17 00:49:14 UTC 2026","com.api.testing.tests.HardcodedDataTest","API Tests","com.api.testing.tests.HardcodedDataTest","testUpdatePostWithHardcodedData"
"","65","Test API call with environment configuration","RestAssured API Testing Suite","Sat Jan 17 00:49:15 UTC 2026","passed","Sat Jan 17 00:49:15 UTC 2026","com.api.testing.tests.EnvironmentTest","API Tests","com.api.testing.tests.EnvironmentTest","testApiCallWithEnvironment"
"","91","Verify response headers","RestAssured API Testing Suite","Sat Jan 17 00:49:13 UTC 2026","passed","Sat Jan 17 00:49:13 UTC 2026","com.api.testing.tests.GetRequestTest","API Tests","com.api.testing.tests.GetRequestTest","testResponseHeaders"
"","37","Delete posts with different IDs","RestAssured API Testing Suite","Sat Jan 17 00:49:13 UTC 2026","passed","Sat Jan 17 00:49:13 UTC 2026","com.api.testing.tests.DeleteRequestTest","API Tests","com.api.testing.tests.DeleteRequestTest","testDeletePostDynamically"
"","48","Convert List to Set to remove duplicates","RestAssured API Testing Suite","Sat Jan 17 00:49:16 UTC 2026","passed","Sat Jan 17 00:49:16 UTC 2026","com.api.testing.tests.PojoCollectionsTest","API Tests","com.api.testing.tests.PojoCollectionsTest","testConvertListToSet"
"","32","Deserialize API response to List of POJOs","RestAssured API Testing Suite","Sat Jan 17 00:49:16 UTC 2026","passed","Sat Jan 17 00:49:16 UTC 2026","com.api.testing.tests.PojoCollectionsTest","API Tests","com.api.testing.tests.PojoCollectionsTest","testDeserializeToList"
"","200","Complete CRUD chain in a single test method","RestAssured API Testing Suite","Sat Jan 17 00:49:15 UTC 2026","passed","Sat Jan 17 00:49:15 UTC 2026","com.api.testing.tests.ChainRequestTest","API Tests","com.api.testing.tests.ChainRequestTest","testCompleteCrudChainInSingleTest"
"","63","Update an existing post using PUT","RestAssured API Testing Suite","Sat Jan 17 00:49:17 UTC 2026","passed","Sat Jan 17 00:49:17 UTC 2026","com.api.testing.tests.ChainRequestTest","API Tests","com.api.testing.tests.ChainRequestTest","testUpdatePostWithPut"
"","47","Serialize POJO to JSON and create a post","RestAssured API Testing Suite","Sat Jan 17 00:49:16 UTC 2026","passed","Sat Jan 17 00:49:16 UTC 2026","com.api.testing.tests.PojoTest","API Tests","com.api.testing.tests.PojoTest","testSerializePojoToCreatePost"
"","34","Test with custom labels","RestAssured API Testing Suite","Sat Jan 17 00:49:16 UTC 2026","passed","Sat Jan 17 00:49:16 UTC 2026","com.api.testing.tests.AllureReportingTest","API Tests","com.api.testing.tests.AllureReportingTest","testWithCustomLabels"
"","100","Create post with second hardcoded data","RestAssured API Testing Suite","Sat Jan 17 00:49:14 UTC 2026","passed","Sat Jan 17 00:49:14 UTC 2026","com.api.testing.tests.HardcodedDataTest","API Tests","com.api.testing.tests.HardcodedDataTest","testCreatePostWithSecondData"
"","125","Create post and validate response structure dynamically","RestAssured API Testing Suite","Sat Jan 17 00:49:14 UTC 2026","passed","Sat Jan 17 00:49:14 UTC 2026","com.api.testing.tests.ResponseLoggingAndAssertionTest","API Tests","com.api.testing.tests.ResponseLoggingAndAssertionTest","testCreatePostAndValidateResponseStructure"
"","43","Validate user response against JSON schema","RestAssured API Testing Suite","Sat Jan 17 00:49:15 UTC 2026","passed","Sat Jan 17 00:49:15 UTC 2026","com.api.testing.tests.SchemaValidationTest","API Tests","com.api.testing.tests.SchemaValidationTest","testValidateUserSchema"
"","87","Combine multiple collections of POJOs","RestAssured API Testing Suite","Sat Jan 17 00:49:16 UTC 2026","passed","Sat Jan 17 00:49:16 UTC 2026","com.api.testing.tests.PojoCollectionsTest","API Tests","com.api.testing.tests.PojoCollectionsTest","testCombineCollections"
"","51","Delete posts using JSON data provider","RestAssured API Testing Suite","Sat Jan 17 00:49:13 UTC 2026","passed","Sat Jan 17 00:49:13 UTC 2026","com.api.testing.tests.DeleteRequestTest","API Tests","com.api.testing.tests.DeleteRequestTest","testDeletePostWithJsonData"
"","110","Create post with first hardcoded data","RestAssured API Testing Suite","Sat Jan 17 00:49:14 UTC 2026","passed","Sat Jan 17 00:49:14 UTC 2026","com.api.testing.tests.HardcodedDataTest","API Tests","com.api.testing.tests.HardcodedDataTest","testCreatePostWithFirstData"
"","40","Get an existing post","RestAssured API Testing Suite","Sat Jan 17 00:49:17 UTC 2026","passed","Sat Jan 17 00:49:17 UTC 2026","com.api.testing.tests.ChainRequestTest","API Tests","com.api.testing.tests.ChainRequestTest","testGetCreatedPost"
"","764","Validate comment response against JSON schema","RestAssured API Testing Suite","Sat Jan 17 00:49:14 UTC 2026","passed","Sat Jan 17 00:49:15 UTC 2026","com.api.testing.tests.SchemaValidationTest","API Tests","com.api.testing.tests.SchemaValidationTest","testValidateCommentSchema"
"This test demonstrates various Allure annotations for enhanced reporting","81","Demonstrate Allure annotations and reporting","RestAssured API Testing Suite","Sat Jan 17 00:49:16 UTC 2026","passed","Sat Jan 17 00:49:16 UTC 2026","com.api.testing.tests.AllureReportingTest","API Tests","com.api.testing.tests.AllureReportingTest","testAllureBasicFeatures"
